ID_ASV,kingdom,phylum,class,order,family,genus,species
ASV295,Metazoa,Porifera,Demospongiae,Poecilosclerida,unclassified,unclassified,Poecilosclerida sp. 9 JV-2020
ASV296,Metazoa,Porifera,Demospongiae,Dendroceratida,Darwinellidae,Chelonaplysilla,Chelonaplysilla sp. 3 JV-2020
ASV3,Metazoa,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona sp. 1 JV-2020
ASV30,unclassified,Rhodophyta,Florideophyceae,Corallinales,unclassified,unclassified,Corallinales sp.
ASV302,Metazoa,Porifera,Demospongiae,Poecilosclerida,Tedaniidae,Tedania,Tedania cf. klausi JV-2020
ASV304,Metazoa,Porifera,Demospongiae,Suberitida,Suberitidae,Suberites,Suberites sp. 1 JV-2020
ASV306,Metazoa,Porifera,Calcarea,Clathrinida,unclassified,unclassified,Clathrinida sp. 1 JV-2020
ASV307,Metazoa,Porifera,Demospongiae,Dictyoceratida,Dysideidae,unclassified,Dysideidae sp. 1 JV-2020
ASV314,Metazoa,Porifera,Demospongiae,Poecilosclerida,Coelosphaeridae,Lissodendoryx,Lissodendoryx hawaiiana
ASV317,Metazoa,Porifera,Calcarea,unclassified,unclassified,unclassified,Calcinea sp. 1 JV-2020
ASV319,Metazoa,Porifera,Demospongiae,Poecilosclerida,Tedaniidae,Tedania,Tedania sp. 1 JV-2020
ASV322,Metazoa,Porifera,Demospongiae,Poecilosclerida,unclassified,unclassified,Poecilosclerida sp. 4 JV-2020
ASV324,Metazoa,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Cupolaconcha,Cupolaconcha meroclista
ASV335,Metazoa,Porifera,Demospongiae,Poecilosclerida,Mycalidae,Mycale,Mycale sp. 4 JV-2020
ASV341,Metazoa,Mollusca,Gastropoda,Trochida,Trochidae,unclassified,Trochidae gen. n. sp. m JZ-2019
ASV346,Metazoa,Mollusca,Gastropoda,unclassified,Cerithiidae,Clypeomorus,Clypeomorus bifasciata
ASV35,Metazoa,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona laubenfelsi
ASV360,unclassified,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochloraceae,Candidatus Paraprochloron,Candidatus Paraprochloron terpiosi
ASV366,Metazoa,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Dendropoma,Dendropoma rhyssoconchum
ASV367,Metazoa,Porifera,Demospongiae,Clionaida,unclassified,unclassified,Clionaida sp. 1 JV-2020
ASV37,Metazoa,Porifera,Demospongiae,Suberitida,Halichondriidae,Hymeniacidon,Hymeniacidon sp. 5 JV-2020
ASV377,Metazoa,Porifera,Demospongiae,Dendroceratida,Darwinellidae,Aplysilla,Aplysilla rosea
ASV386,Metazoa,Porifera,Demospongiae,Tetractinellida,Theonellidae,Racodiscula,Racodiscula asteroides
ASV392,unclassified,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
ASV393,Metazoa,Bryozoa,Gymnolaemata,Cheilostomatida,Smittinidae,Smittina,Smittina torques
ASV399,Metazoa,Porifera,Homoscleromorpha,Homosclerophorida,Oscarellidae,Oscarella,Oscarella sp. 1 JV-2020
ASV4,Metazoa,Porifera,Demospongiae,Suberitida,Suberitidae,unclassified,Suberitidae sp. 1 JV-2020
ASV40,Metazoa,Porifera,Calcarea,Leucosolenida,unclassified,unclassified,Leucosolenida sp. 1 JV-2020
ASV402,Metazoa,Porifera,Demospongiae,Poecilosclerida,unclassified,unclassified,Poecilosclerida sp. 3 JV-2020
ASV403,Metazoa,Porifera,Calcarea,Clathrinida,unclassified,unclassified,Clathrinida sp. 2 JV-2020
ASV420,Metazoa,Porifera,Demospongiae,Tethyida,Tethyidae,unclassified,Tethyidae sp. 1 JV-2020
ASV433,Metazoa,Porifera,Homoscleromorpha,Homosclerophorida,Oscarellidae,Oscarella,Oscarella sp. 3 JV-2020
ASV444,Metazoa,Porifera,Calcarea,Leucosolenida,unclassified,unclassified,Leucosolenida sp. 10 JV-2020
ASV461,Metazoa,Porifera,Demospongiae,Dictyoceratida,unclassified,unclassified,Dictyoceratida sp. 3 JV-2020
ASV469,Metazoa,Porifera,Demospongiae,Tetractinellida,Ancorinidae,unclassified,Ancorinidae sp. 8 JV-2020
ASV47,unclassified,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Pneophyllum,Pneophyllum cetinaensis
ASV474,Metazoa,Porifera,Demospongiae,Haplosclerida,unclassified,unclassified,Haplosclerida sp. 8 JV-2020
ASV48,Metazoa,Porifera,Calcarea,Leucosolenida,unclassified,unclassified,Leucosolenida sp. 7 JV-2020
ASV49,Metazoa,Porifera,Calcarea,Leucosolenida,unclassified,unclassified,Leucosolenida sp. 11 JV-2020
ASV491,Metazoa,Porifera,Calcarea,Clathrinida,Clathrinidae,unclassified,Clathrinidae sp. 9 JV-2020
ASV494,Viridiplantae,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva linza
ASV497,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
ASV511,Metazoa,Porifera,Demospongiae,unclassified,unclassified,unclassified,Keratosa sp. 2 JV-2020
ASV513,Metazoa,Porifera,Homoscleromorpha,Homosclerophorida,Oscarellidae,Oscarella,Oscarella sp. 2 JV-2020
ASV52,unclassified,Rhodophyta,Florideophyceae,Gigartinales,Hypneaceae,Hypnea,Hypnea wynnei
ASV522,Metazoa,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,Halichondria sp. 4 JV-2020
ASV523,Metazoa,Porifera,Calcarea,Clathrinida,Clathrinidae,unclassified,Clathrinidae sp. 8 JV-2020
ASV56,Metazoa,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus,Lepidonotus squamatus
ASV597,unclassified,Rhodophyta,Florideophyceae,Peyssonneliales,Peyssonneliaceae,Peyssonnelia,Peyssonnelia dubyi
ASV601,Metazoa,Echinodermata,Ophiuroidea,Amphilepidida,Ophiactidae,Ophiactis,Ophiactis savignyi
ASV611,Metazoa,Porifera,Demospongiae,Haplosclerida,unclassified,unclassified,Haplosclerida sp. 2 JV-2020
ASV619,Metazoa,Porifera,Demospongiae,Bubarida,Dictyonellidae,Dictyonella,Dictyonella sp. SI_121Y
ASV624,Metazoa,Porifera,Homoscleromorpha,Homosclerophorida,Plakinidae,Plakinastrella,Plakinastrella sp. 1 JV-2020
ASV649,unclassified,unclassified,Phaeophyceae,Ectocarpales,Chordariaceae,Streblonema,Streblonema maculans
ASV652,Metazoa,Porifera,Demospongiae,Haplosclerida,Niphatidae,Gelliodes,Gelliodes wilsoni
ASV665,Metazoa,Annelida,Polychaeta,Eunicida,Amphinomidae,Eurythoe,Eurythoe complanata
ASV672,Metazoa,Porifera,Calcarea,Clathrinida,Clathrinidae,unclassified,Clathrinidae sp. 10 JV-2020
ASV677,Metazoa,Mollusca,Gastropoda,Littorinimorpha,Hipponicidae,Sabia,Sabia conica
ASV697,Metazoa,Porifera,Demospongiae,Chondrillida,unclassified,unclassified,Chondrillida sp. 3 JV-2020
ASV706,unclassified,Bacillota,Bacilli,Bacillales,Bacillaceae,Cytobacillus,Cytobacillus spongiae
ASV71,Metazoa,Porifera,Calcarea,Clathrinida,Clathrinidae,unclassified,Clathrinidae sp. 3 JV-2020
ASV72,unclassified,Rhodophyta,Florideophyceae,Corallinales,Spongitidaceae,Spongites,Spongites sp.
