"ID","kingdom","phylum","class","order","family","genus","species"
"ASV294","Metazoa","Annelida","Polychaeta","Terebellida","Cirratulidae","Aphelochaeta","Aphelochaeta sp. MG394"
"ASV326","Metazoa","Mollusca","Gastropoda","Trochida","Trochidae","unclassified","Trochidae gen. n. sp. m JZ-2019"
"ASV337","Metazoa","Annelida","Polychaeta","Phyllodocida","Syllidae","Exogone","Exogone verugera"
"ASV361","unclassified","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia sp. CHPN1"
"ASV364","Metazoa","Porifera","Demospongiae","Poecilosclerida","Tedaniidae","Tedania","Tedania cf. klausi JV-2020"
"ASV384","unclassified","unclassified","Phaeophyceae","Ectocarpales","Chordariaceae","Ascoseirophila","Ascoseirophila violodora"
"ASV399","Metazoa","Porifera","Demospongiae","Dictyoceratida","Dysideidae","Dysidea","Dysidea cf. pallescens JV-2020"
"ASV402","Metazoa","Echinodermata","Ophiuroidea","Amphilepidida","Ophiactidae","Ophiactis","Ophiactis resiliens"
"ASV410","Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Hydrichthyidae","Hydrichthys","Hydrichthys boycei"
"ASV412","Metazoa","Annelida","Polychaeta","Sabellida","Serpulidae","Jugaria","Jugaria quadrangularis"
"ASV416","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","uncultured eukaryote"
"ASV417","unclassified","Rhodophyta","Florideophyceae","Corallinales","Spongitidaceae","Spongites","Spongites sp."
"ASV420","Metazoa","Porifera","Calcarea","unclassified","unclassified","unclassified","Calcinea sp. 1 JV-2020"
"ASV425","Metazoa","Mollusca","Gastropoda","Lepetellida","Fissurellidae","Diodora","Diodora cayenensis"
"ASV429","Viridiplantae","Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva","Ulva linza"
"ASV444","unclassified","Cercozoa","Chlorarachniophyceae","unclassified","unclassified","Lotharella","Lotharella globosa"
"ASV448","Metazoa","Porifera","Demospongiae","Poecilosclerida","Mycalidae","Mycale","Mycale sp. 10 JV-2020"
"ASV456","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Haleciidae","Nemalecium","Nemalecium lighti"
"ASV457","Metazoa","Cnidaria","Hydrozoa","Leptothecata","unclassified","unclassified","Obeliida sp. USNM 1420678"
"ASV458","Metazoa","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona sp. 2 JV-2020"
"ASV477","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","uncultured bacterium KM3-187-G1"
"ASV492","Metazoa","Bryozoa","Gymnolaemata","Cheilostomatida","Chaperiidae","Chaperiopsis","Chaperiopsis lanceola"
"ASV494","Metazoa","Porifera","Demospongiae","Biemnida","Biemnidae","Neofibularia","Neofibularia hartmani"
"ASV503","Viridiplantae","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicaceae","Chloropicon","Chloropicon roscoffensis"
"ASV506","Metazoa","Cnidaria","Hydrozoa","Leptothecata","Laodiceidae","Melicertissa","Melicertissa sp. AGC-2001"
"ASV511","unclassified","Bacillota","Bacilli","Bacillales","Bacillaceae","Caldalkalibacillus","Caldalkalibacillus thermarum"
"ASV519","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Rubiaceae","Sipanea","Sipanea sp. Rova et al. 1981"
"ASV525","unclassified","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Mediolabrus","Mediolabrus comicus"
"ASV534","unclassified","Rhodophyta","Florideophyceae","Gigartinales","Hypneaceae","Hypnea","Hypnea charoides"
"ASV536","unclassified","unclassified","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum sp."
